Label	ID	HGNCÊName	Kinase Name	Group	Family	SubFamily	UniprotID
caMLCK	caMLCK	MYLK3	Myosin light chain kinase 3	CAMK	MLCK		Q32MK0
CASK	CASK	CASK	Peripheral plasma membrane protein CASK	CAMK	CASK		O14936
CCK4	CCK4	PTK7	Inactive tyrosine-protein kinase 7	TK	CCK4		Q13308
CCRK	CCRK	CDK20	Cyclin-dependent kinase 20	CMGC	CDK		Q8IZL9
CDC2	CDC2	CDK1	Cyclin-dependent kinase 1	CMGC	CDK	CDC2	P06493
CDC7	CDC7	CDC7	Cell division cycle 7-related protein kinase	Other	CDC7		O00311
CDK10	CDK10	CDK10	Cyclin-dependent kinase 10	CMGC	CDK	CDK10	Q15131
CDK11	CDK11	CDK19	Cyclin-dependent kinase 19	CMGC	CDK	CDK8	Q9BWU1
CDK2	CDK2	CDK2	Cyclin-dependent kinase 2	CMGC	CDK	CDK2	P24941
CDK3	CDK3	CDK3	Cyclin-dependent kinase 3	CMGC	CDK	CDK2	Q00526
CDK4	CDK4	CDK4	Cyclin-dependent kinase 4	CMGC	CDK	CDK4	P11802
CDK5	CDK5	CDK5	Cyclin-dependent kinase 5	CMGC	CDK	CDK5	Q00535
CDK6	CDK6	CDK6	Cyclin-dependent kinase 6	CMGC	CDK	CDK4	Q00534
CDK7	CDK7	CDK7	Cyclin-dependent kinase 7	CMGC	CDK	CDK7	P50613
CDK8	CDK8	CDK8	Cyclin-dependent kinase 8	CMGC	CDK	CDK8	P49336
CDK9	CDK9	CDK9	Cyclin-dependent kinase 9	CMGC	CDK	CDK9	P50750
CDKL1	CDKL1	CDKL1	Cyclin-dependent kinase-like 1	CMGC	CDKL		Q00532
CDKL2	CDKL2	CDKL2	Cyclin-dependent kinase-like 2	CMGC	CDKL		Q92772
CDKL3	CDKL3	CDKL3	Cyclin-dependent kinase-like 3	CMGC	CDKL		Q8IVW4
CDKL4	CDKL4	CDKL4	Cyclin-dependent kinase-like 4	CMGC	CDKL		Q5MAI5
CDKL5	CDKL5	CDKL5	Cyclin-dependent kinase-like 5	CMGC	CDKL		O76039
ChaK1	ChaK1	TRPM7	Transient receptor potential cation channel subfamily M member 7	Atypical	Alpha	ChaK	Q96QT4
ChaK2	ChaK2	TRPM6	Transient receptor potential cation channel subfamily M member 6	Atypical	Alpha	ChaK	Q9BX84
CHED	CHED	CDK13	Cyclin-dependent kinase 13	CMGC	CDK	CRK7	Q14004
CHK1	CHK1	CHEK1	Serine/threonine-protein kinase Chk1	CAMK	CAMKL	CHK1	O14757
CHK2	CHK2	CHEK2	Serine/threonine-protein kinase Chk2	CAMK	RAD53		O96017
CK1a	CK1a	CSNK1A1	Casein kinase I isoform alpha	CK1	CK1		P48729
CK1a2	CK1a2	CSNK1A1L	Casein kinase I isoform alpha-like	CK1	CK1		Q8N752
CK1d	CK1d	CSNK1D	Casein kinase I isoform delta	CK1	CK1		P48730
CK1e	CK1e	CSNK1E	Casein kinase I isoform epsilon	CK1	CK1		P49674
CK1g1	CK1g1	CSNK1G1	Casein kinase I isoform gamma-1	CK1	CK1		Q9HCP0
CK1g2	CK1g2	CSNK1G2	Casein kinase I isoform gamma-2	CK1	CK1		P78368
CK1g3	CK1g3	CSNK1G3	Casein kinase I isoform gamma-3	CK1	CK1		Q9Y6M4
CK2a1	CK2a1	CSNK2A1	Casein kinase II subunit alpha	CMGC	CK2		P68400
CK2a2	CK2a2	CSNK2A2	Casein kinase II subunit alpha	CMGC	CK2		P19784
CLIK1	CLIK1	STK35	Serine/threonine-protein kinase 35	Other	NKF4		Q8TDR2
CLIK1L	CLIK1L	PDIK1L	Serine/threonine-protein kinase PDIK1L	Other	NKF4		Q8N165
CLK1	CLK1	CLK1	Dual specificity protein kinase CLK1	CMGC	CLK		P49759
CLK2	CLK2	CLK2	Dual specificity protein kinase CLK2	CMGC	CLK		P49760
CLK3	CLK3	CLK3	Dual specificity protein kinase CLK3	CMGC	CLK		P49761
CLK4	CLK4	CLK4	Dual specificity protein kinase CLK4	CMGC	CLK		Q9HAZ1
Col4A3BP	Col4A3BP	COL4A3BP	Collagen type IV alpha-3-binding protein	Atypical	Col4A3BP		Q9Y5P4
COT	COT	MAP3K8	Mitogen-activated protein kinase kinase kinase 8	STE	STE-Unique		P41279
CRIK	CRIK	CIT	Citron Rho-interacting kinase	AGC	DMPK		O14578
CRK7	CRK7	CDK12	Cyclin-dependent kinase 12	CMGC	CDK	CRK7	Q9NYV4
CSK	CSK	CSK	Tyrosine-protein kinase CSK	TK	Csk		P41240
CTK	CTK	MATK	Megakaryocyte-associated tyrosine-protein kinase	TK	Csk		P42679
CYGD	CYGD	GUCY2D	Retinal guanylyl cyclase 1	RGC	RGC		Q02846
CYGF	CYGF	GUCY2F	Retinal guanylyl cyclase 2	RGC	RGC		P51841
DAPK1	DAPK1	DAPK1	Death-associated protein kinase 1	CAMK	DAPK		P53355
DAPK2	DAPK2	DAPK2	Death-associated protein kinase 2	CAMK	DAPK		Q9UIK4
DAPK3	DAPK3	DAPK3	Death-associated protein kinase 3	CAMK	DAPK		O43293
DCAMKL1	DCAMKL1	DCLK1	Serine/threonine-protein kinase DCLK1	CAMK	DCAMKL		O15075
DCAMKL2	DCAMKL2	DCLK2	Serine/threonine-protein kinase DCLK2	CAMK	DCAMKL		Q8N568
DCAMKL3	DCAMKL3	DCLK3	Serine/threonine-protein kinase DCLK3	CAMK	DCAMKL		Q9C098
DDR1	DDR1	DDR1	Epithelial discoidin domain-containing receptor 1	TK	DDR		Q08345
DDR2	DDR2	DDR2	Discoidin domain-containing receptor 2	TK	DDR		Q16832
DLK	DLK	MAP3K12	Mitogen-activated protein kinase kinase kinase 12	TKL	MLK	LZK	Q12852
DMPK1	DMPK1	DMPK	Myotonin-protein kinase	AGC	DMPK	GEK	Q09013
DMPK2	DMPK2	CDC42BPG	Serine/threonine-protein kinase MRCK gamma	AGC	DMPK	GEK	Q6DT37
DNAPK	DNAPK	PRKDC	DNA-dependent protein kinase catalytic subunit	Atypical	PIKK	DNAPK	P78527
Domain2_GCN2	GCN2_b	EIF2AK4	Eukaryotic translation initiation factor 2-alpha kinase 4	STE	STE-Unique		Q9P2K8
Domain2_JAK1	JAK1_b	JAK1	Tyrosine-protein kinase JAK1	TK	JakB		P23458
Domain2_JAK2	JAK2_b	JAK2	Tyrosine-protein kinase JAK2	TK	JakB		O60674
Domain2_JAK3	JAK3_b	JAK3	Tyrosine-protein kinase JAK3	TK	JakB		P52333
Domain2_MSK1	MSK1_b	RPS6KA5	Ribosomal protein S6 kinase alpha-5	CAMK	RSKb	MSKb	O75582
Domain2_MSK2	MSK2_b	RPS6KA4	Ribosomal protein S6 kinase alpha-4	CAMK	RSKb	MSKb	O75676
Domain2_Obscn	Obscn_b	OBSCN	Obscurin	CAMK	Trio		Q5VST9
Domain2_RSK1	RSK3_b	RPS6KA2	Ribosomal protein S6 kinase alpha-2	CAMK	RSKb	RSKb	Q15349
Domain2_RSK2	RSK2_b	RPS6KA3	Ribosomal protein S6 kinase alpha-3	CAMK	RSKb	RSKb	P51812
Domain2_RSK3	RSK1_b	RPS6KA1	Ribosomal protein S6 kinase alpha-1	CAMK	RSKb	RSKb	Q15418
Domain2_RSK4	RSK4_b	RPS6KA6	Ribosomal protein S6 kinase alpha-6	CAMK	RSKb	RSKb	Q9UK32
Domain2_SPEG	SPEG_b	SPEG	Striated muscle preferentially expressed protein kinase	CAMK	Trio		Q15772
Domain2_TYK2	TYK2_b	TYK2	Non-receptor tyrosine-protein kinase TYK2	TK	JakB		P29597
DRAK1	DRAK1	STK17A	Serine/threonine-protein kinase 17A	CAMK	DAPK		Q9UEE5
DRAK2	DRAK2	STK17B	Serine/threonine-protein kinase 17B	CAMK	DAPK		O94768
DYRK1A	DYRK1A	DYRK1A	Dual specificity tyrosine-phosphorylation-regulated kinase 1A	CMGC	DYRK	DYRK1	Q13627
DYRK1B	DYRK1B	DYRK1B	Dual specificity tyrosine-phosphorylation-regulated kinase 1B	CMGC	DYRK	DYRK1	Q9Y463
DYRK2	DYRK2	DYRK2	Dual specificity tyrosine-phosphorylation-regulated kinase 2	CMGC	DYRK	DYRK2	Q92630
DYRK3	DYRK3	DYRK3	Dual specificity tyrosine-phosphorylation-regulated kinase 3	CMGC	DYRK	DYRK2	O43781
DYRK4	DYRK4	DYRK4	Dual specificity tyrosine-phosphorylation-regulated kinase 4	CMGC	DYRK	DYRK2	Q9NR20
eEF2K	eEF2K	EEF2K	Eukaryotic elongation factor 2 kinase	Atypical	Alpha	eEF2K	O00418
EGFR	EGFR	EGFR	Epidermal growth factor receptor	TK	EGFR		P00533
EphA1	EphA1	EPHA1	Ephrin type-A receptor 1	TK	Eph		P21709
EphA10	EphA10	EPHA10	Ephrin type-A receptor 10	TK	Eph		Q5JZY3
EphA2	EphA2	EPHA2	Ephrin type-A receptor 2	TK	Eph		P29317
EphA3	EphA3	EPHA3	Ephrin type-A receptor 3	TK	Eph		P29320
EphA4	EphA4	EPHA4	Ephrin type-A receptor 4	TK	Eph		P54764
EphA5	EphA5	EPHA5	Ephrin type-A receptor 5	TK	Eph		P54756
EphA6	EphA6	EPHA6	Ephrin type-A receptor 6	TK	Eph		Q9UF33
EphA7	EphA7	EPHA7	Ephrin type-A receptor 7	TK	Eph		Q15375
EphA8	EphA8	EPHA8	Ephrin type-A receptor 8	TK	Eph		P29322
EphB1	EphB1	EPHB1	Ephrin type-B receptor 1	TK	Eph		P54762
EphB2	EphB2	EPHB2	Ephrin type-B receptor 2	TK	Eph		P29323
EphB3	EphB3	EPHB3	Ephrin type-B receptor 3	TK	Eph		P54753
EphB4	EphB4	EPHB4	Ephrin type-B receptor 4	TK	Eph		P54760
EphB6	EphB6	EPHB6	Ephrin type-B receptor 6	TK	Eph		O15197
Erk1	Erk1	MAPK3	Mitogen-activated protein kinase 3	CMGC	MAPK	ERK1	P27361
Erk2	Erk2	MAPK1	Mitogen-activated protein kinase 1	CMGC	MAPK	ERK1	P28482
Erk3	Erk3	MAPK6	Mitogen-activated protein kinase 6	CMGC	MAPK	ERK3	Q16659
Erk4	Erk4	MAPK4	Mitogen-activated protein kinase 4	CMGC	MAPK	ERK3	P31152
Erk5	Erk5	MAPK7	Mitogen-activated protein kinase 7	CMGC	MAPK	ERK5	Q13164
Erk7	Erk7	MAPK15	Mitogen-activated protein kinase 15	CMGC	MAPK	ERK7	Q8TD08
FAK	FAK	PTK2	Focal adhesion kinase 1	TK	FAK		Q05397
FASTK	FASTK	FASTK	Fas-activated serine/threonine kinase	Atypical	FAST		Q14296
FER	FER	FER	Tyrosine-protein kinase Fer	TK	Fer		P16591
FES	FES	FES	Tyrosine-protein kinase Fes/Fps	TK	Fer		P07332
FGFR1	FGFR1	FGFR1	Fibroblast growth factor receptor 1	TK	FGFR		P11362
FGFR2	FGFR2	FGFR2	Fibroblast growth factor receptor 2	TK	FGFR		P21802
FGFR3	FGFR3	FGFR3	Fibroblast growth factor receptor 3	TK	FGFR		P22607
FGFR4	FGFR4	FGFR4	Fibroblast growth factor receptor 4	TK	FGFR		P22455
FGR	FGR	FGR	Tyrosine-protein kinase Fgr	TK	Src		P09769
FLT1	FLT1	FLT1	Vascular endothelial growth factor receptor 1	TK	VEGFR		P17948
FLT3	FLT3	FLT3	Receptor-type tyrosine-protein kinase FLT3	TK	PDGFR		P36888
FLT4	FLT4	FLT4	Vascular endothelial growth factor receptor 3	TK	VEGFR		P35916
FMS	FMS	CSF1R	Macrophage colony-stimulating factor 1 receptor	TK	PDGFR		P07333
FRAP	FRAP	MTOR	Serine/threonine-protein kinase mTOR	Atypical	PIKK	FRAP	P42345
FRK	FRK	FRK	Tyrosine-protein kinase FRK	TK	Src		P42685
Fused	Fused	STK36	Serine/threonine-protein kinase 36	Other	ULK		Q9NRP7
FYN	FYN	FYN	Tyrosine-protein kinase Fyn	TK	Src		P06241
G11	G11	STK19	Serine/threonine-protein kinase 19	Atypical	G11		P49842
GAK	GAK	GAK	Cyclin-G-associated kinase	Other	NAK		O14976
GCK	GCK	MAP4K2	Mitogen-activated protein kinase kinase kinase kinase 2	STE	STE20	KHS	Q12851
GCN2	GCN2	EIF2AK4	Eukaryotic translation initiation factor 2-alpha kinase 4	Other	PEK	GCN2	Q9P2K8
GPRK4	GPRK4	GRK4	G protein-coupled receptor kinase 4	AGC	GRK	GRK	P32298
GPRK5	GPRK5	GRK5	G protein-coupled receptor kinase 5	AGC	GRK	GRK	P34947
GPRK6	GPRK6	GRK6	G protein-coupled receptor kinase 6	AGC	GRK	GRK	P43250
GPRK7	GPRK7	GRK7	G protein-coupled receptor kinase 7	AGC	GRK	GRK	Q8WTQ7
GSK3A	GSK3A	GSK3A	Glycogen synthase kinase-3 alpha	CMGC	GSK		P49840
GSK3B	GSK3B	GSK3B	Glycogen synthase kinase-3 beta	CMGC	GSK		P49841
GTF2F1	GTF2F1		nan	Atypical	GTF2F1		Q6IBK5
Haspin	Haspin	GSG2	Serine/threonine-protein kinase haspin	Other	Haspin		Q8TF76
HCK	HCK	HCK	Tyrosine-protein kinase HCK	TK	Src		P08631
HER2/ErbB2	ErbB2	ERBB2	Receptor tyrosine-protein kinase erbB-2	TK	EGFR		P04626
HER3/ErbB3	ErbB3	ERBB3	Receptor tyrosine-protein kinase erbB-3	TK	EGFR		P21860
HER4/ErbB4	ErbB4	ERBB4	Receptor tyrosine-protein kinase erbB-4	TK	EGFR		Q15303
HH498	HH498	TNNI3K	Serine/threonine-protein kinase TNNI3K	TKL	MLK	HH498	Q59H18
HIPK1	HIPK1	HIPK1	Homeodomain-interacting protein kinase 1	CMGC	DYRK	HIPK	Q86Z02
HIPK2	HIPK2	HIPK2	Homeodomain-interacting protein kinase 2	CMGC	DYRK	HIPK	Q9H2X6
HIPK3	HIPK3	HIPK3	Homeodomain-interacting protein kinase 3	CMGC	DYRK	HIPK	Q9H422
HIPK4	HIPK4	HIPK4	Homeodomain-interacting protein kinase 4	CMGC	DYRK	HIPK	Q8NE63
HPK1	HPK1	MAP4K1	Mitogen-activated protein kinase kinase kinase kinase 1	STE	STE20	KHS	Q92918
HRI	HRI	EIF2AK1	Eukaryotic translation initiation factor 2-alpha kinase 1	Other	PEK		Q9BQI3
HSER	HSER	GUCY2C	Heat-stable enterotoxin receptor	RGC	RGC		P25092
HUNK	HUNK	HUNK	Hormonally up-regulated neu tumor-associated kinase	CAMK	CAMKL	HUNK	P57058
ICK	ICK	ICK	Serine/threonine-protein kinase ICK	CMGC	RCK		Q9UPZ9
IGF1R	IGF1R	IGF1R	Insulin-like growth factor 1 receptor	TK	InsR		P08069
IKKa	IKKa	CHUK	Inhibitor of nuclear factor kappa-B kinase subunit alpha	Other	IKK		O15111
IKKb	IKKb	IKBKB	Inhibitor of nuclear factor kappa-B kinase subunit beta	Other	IKK		O14920
IKKe	IKKe	IKBKE	Inhibitor of nuclear factor kappa-B kinase subunit epsilon	Other	IKK		Q14164
ILK	ILK	ILK	Integrin-linked protein kinase	TKL	MLK	ILK	Q13418
INSR	INSR	INSR	Insulin receptor	TK	InsR		P06213
IRAK1	IRAK1	IRAK1	Interleukin-1 receptor-associated kinase 1	TKL	IRAK		P51617
IRAK2	IRAK2	IRAK2	Interleukin-1 receptor-associated kinase-like 2	TKL	IRAK		O43187
IRAK3	IRAK3	IRAK3	Interleukin-1 receptor-associated kinase 3	TKL	IRAK		Q9Y616
IRAK4	IRAK4	IRAK4	Interleukin-1 receptor-associated kinase 4	TKL	IRAK		Q9NWZ3
IRE1	IRE1	ERN1	Serine/threonine-protein kinase/endoribonuclease IRE1	Other	IRE		O75460
IRE2	IRE2	ERN2	Serine/threonine-protein kinase/endoribonuclease IRE2	Other	IRE		Q76MJ5
IRR	IRR	INSRR	Insulin receptor-related protein	TK	InsR		P14616
ITK	ITK	ITK	Tyrosine-protein kinase ITK/TSK	TK	Tec		Q08881
JAK1	JAK1	JAK1	Tyrosine-protein kinase JAK1	TK	Jak		P23458
JAK2	JAK2	JAK2	Tyrosine-protein kinase JAK2	TK	Jak		O60674
JAK3	JAK3	JAK3	Tyrosine-protein kinase JAK3	TK	Jak		P52333
JNK1	JNK1	MAPK8	Mitogen-activated protein kinase 8	CMGC	MAPK	JNK	P45983
JNK2	JNK2	MAPK9	Mitogen-activated protein kinase 9	CMGC	MAPK	JNK	P45984
JNK3	JNK3	MAPK10	Mitogen-activated protein kinase 10	CMGC	MAPK	JNK	P53779
KDR	KDR	KDR	Vascular endothelial growth factor receptor 2	TK	VEGFR		P35968
KHS1	KHS1	MAP4K5	Mitogen-activated protein kinase kinase kinase kinase 5	STE	STE20	KHS	Q9Y4K4
KHS2	KHS2	MAP4K3	Mitogen-activated protein kinase kinase kinase kinase 3	STE	STE20	KHS	Q8IVH8
KIS	KIS	UHMK1	Serine/threonine-protein kinase Kist	Other	KIS		Q8TAS1
KIT	KIT	KIT	Mast/stem cell growth factor receptor Kit	TK	PDGFR		P10721
KSR1	KSR1	KSR1	Kinase suppressor of Ras 1	TKL	RAF	KSR	Q8IVT5
KSR2	KSR2	KSR2	Kinase suppressor of Ras 2	TKL	RAF		Q6VAB6
LATS1	LATS1	LATS1	Serine/threonine-protein kinase LATS1	AGC	NDR		O95835
LATS2	LATS2	LATS2	Serine/threonine-protein kinase LATS2	AGC	NDR		Q9NRM7
LCK	LCK	LCK	Tyrosine-protein kinase Lck	TK	Src		P06239
LIMK1	LIMK1	LIMK1	LIM domain kinase 1	TKL	LISK	LIMK	P53667
LIMK2	LIMK2	LIMK2	LIM domain kinase 2	TKL	LISK	LIMK	P53671
LKB1	LKB1	STK11	Serine/threonine-protein kinase STK11	CAMK	CAMKL	LKB	Q15831
LMR1	LMR1	AATK	Serine/threonine-protein kinase LMTK1	TK	Lmr		Q6ZMQ8
LMR2	LMR2	LMTK2	Serine/threonine-protein kinase LMTK2	TK	Lmr		Q8IWU2
LMR3	LMR3	LMTK3	Serine/threonine-protein kinase LMTK3	TK	Lmr		Q96Q04
LOK	LOK	STK10	Serine/threonine-protein kinase 10	STE	STE20	SLK	O94804
LRRK1	LRRK1	LRRK1	Leucine-rich repeat serine/threonine-protein kinase 1	TKL	LRRK		Q38SD2
LRRK2	LRRK2	LRRK2	Leucine-rich repeat serine/threonine-protein kinase 2	TKL	LRRK		Q5S007
LTK	LTK	LTK	Leukocyte tyrosine kinase receptor	TK	ALK		P29376
LYN	LYN	LYN	Tyrosine-protein kinase Lyn	TK	Src		P07948
LZK	LZK	MAP3K13	Mitogen-activated protein kinase kinase kinase 13	TKL	MLK	LZK	O43283
MAK	MAK	MAK	Serine/threonine-protein kinase MAK	CMGC	RCK		P20794
MAP2K1	MAP2K1	MAP2K1	Dual specificity mitogen-activated protein kinase kinase 1	STE	STE7		Q02750
MAP2K2	MAP2K2	MAP2K2	Dual specificity mitogen-activated protein kinase kinase 2	STE	STE7		P36507
MAP2K3	MAP2K3	MAP2K3	Dual specificity mitogen-activated protein kinase kinase 3	STE	STE7		P46734
MAP2K4	MAP2K4	MAP2K4	Dual specificity mitogen-activated protein kinase kinase 4	STE	STE7		P45985
MAP2K5	MAP2K5	MAP2K5	Dual specificity mitogen-activated protein kinase kinase 5	STE	STE7		Q13163
MAP2K6	MAP2K6	MAP2K6	Dual specificity mitogen-activated protein kinase kinase 6	STE	STE7		P52564
MAP2K7	MAP2K7	MAP2K7	Dual specificity mitogen-activated protein kinase kinase 7	STE	STE7		O14733
MAP3K1	MAP3K1	MAP3K1	Mitogen-activated protein kinase kinase kinase 1	STE	STE11		Q13233
MAP3K2	MAP3K2	MAP3K2	Mitogen-activated protein kinase kinase kinase 2	STE	STE11		Q9Y2U5
MAP3K3	MAP3K3	MAP3K3	Mitogen-activated protein kinase kinase kinase 3	STE	STE11		Q99759
MAP3K4	MAP3K4	MAP3K4	Mitogen-activated protein kinase kinase kinase 4	STE	STE11		Q9Y6R4
MAP3K5	MAP3K5	MAP3K5	Mitogen-activated protein kinase kinase kinase 5	STE	STE11		Q99683
MAP3K6	MAP3K6	MAP3K6	Mitogen-activated protein kinase kinase kinase 6	STE	STE11		O95382
MAP3K7	MAP3K7	MAP3K15	Mitogen-activated protein kinase kinase kinase 15	STE	STE11		Q6ZN16
MAP3K8	MAP3K19	MAP3K19	Mitogen-activated protein kinase kinase kinase 19	STE	STE11		Q56UN5
MAPKAPK2	MAPKAPK2	MAPKAPK2	MAP kinase-activated protein kinase 2	CAMK	MAPKAPK	MK2	P49137
MAPKAPK3	MAPKAPK3	MAPKAPK3	MAP kinase-activated protein kinase 3	CAMK	MAPKAPK	MK2	Q16644
